ж в {'rel_weight': 0.9906769834794077, 'rel_center': 0.9992250188348207, 'rel_inertia': 0.9990572840442496}
ж г {'rel_weight': 0.9731909675541456, 'rel_center': 0.9981534215619221, 'rel_inertia': 0.9987179823824375}
ж д {'rel_weight': 0.997597854104657, 'rel_center': 0.9921358769448255, 'rel_inertia': 0.9989117440820054}
ж е {'rel_weight': 0.9885058635549928, 'rel_center': 0.9983806216431925, 'rel_inertia': 0.9991125480432254}
ж ё {'rel_weight': 0.9988130123678726, 'rel_center': 0.9956254461195035, 'rel_inertia': 0.9991258906269085}
ж ж {'rel_weight': 0.9962572781307885, 'rel_center': 0.9993741353130818, 'rel_inertia': 0.9997636459922905}
ж з {'rel_weight': 0.967697671827545, 'rel_center': 0.9973286394773913, 'rel_inertia': 0.9986048342699311}
ж и {'rel_weight': 0.9763152620795231, 'rel_center': 0.9996642001361024, 'rel_inertia': 0.9992307341481308}
ж й {'rel_weight': 0.9894339546138249, 'rel_center': 0.9962802009583621, 'rel_inertia': 0.9990621592931903}
ж к {'rel_weight': 0.970169794257527, 'rel_center': 0.9970375669645118, 'rel_inertia': 0.9985261903957028}
ж л {'rel_weight': 0.9806714372295366, 'rel_center': 0.9968664985566535, 'rel_inertia': 0.9993458938669296}
